nohup: ignoring input
Watching for file changes with StatReloader
Not Found: /
[03/Feb/2026 05:22:44] "GET / HTTP/1.1" 404 2789
[03/Feb/2026 05:37:17] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:17] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:19] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:19] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:19] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:37:19] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:37:20] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:20] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:37:20] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:37:20] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:37:20] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:37:20] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:39:15] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:39:15] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:39:16] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:39:16] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:39:16] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:39:16] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:39:21] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:39:22] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:40:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:40:54] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:40:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:40:54] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:40:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:40:54] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:40:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:40:54] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:40:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:40:54] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:40:54] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:40:54] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:40:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:40:54] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:40] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:40] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:40] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:41] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:43] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:43] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:51] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:43:51] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:51] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:43:51] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:51] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:51] "GET /api/users/ HTTP/1.1" 200 154
[03/Feb/2026 05:43:51] "GET /api/tickets/ HTTP/1.1" 200 14
[03/Feb/2026 05:43:51] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:52] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:52] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:52] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:43:52] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:43:54] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:03] "POST /api/users/login/ HTTP/1.1" 200 108
[03/Feb/2026 05:44:03] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:03] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:07] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:44:07] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:07] "GET /api/registrations/ HTTP/1.1" 200 20
[03/Feb/2026 05:44:07] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:09] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:09] "GET /api/events/ HTTP/1.1" 200 98
[03/Feb/2026 05:44:11] "GET /api/events/ HTTP/1.1" 200 98
